Protein_1	Protein_2	Type	Score
NP_010863.1	NP_012520.1	None	0
NP_011422.1	NP_013564.1	None	0
NP_015437.1	NP_011519.3	None	0
NP_014807.3	NP_011067.3	None	0
NP_010253.2	NP_012201.1	None	0
NP_015107.1	NP_014102.1	None	0
NP_012300.3	NP_009813.1	None	0
NP_012604.1	NP_012220.3	None	0
NP_012292.3	NP_010524.3	None	0
NP_015373.1	NP_012808.1	None	0
NP_010253.2	NP_015481.1	None	0
NP_014221.3	NP_012892.1	None	0
NP_116650.1	NP_014337.3	None	0
NP_014025.1	NP_015317.1	None	0
NP_013629.1	NP_011952.1	None	0
NP_010786.3	NP_012859.1	None	0
NP_011067.3	NP_010466.3	None	0
NP_014663.1	NP_012141.1	None	0
NP_015262.1	NP_012504.3	None	0
NP_012220.3	NP_010676.1	None	0
NP_015481.1	NP_011661.2	None	0
NP_010585.3	NP_014155.1	None	0
NP_011035.1	NP_013102.1	None	0
NP_010862.1	NP_013597.1	None	0
NP_009849.1	NP_014785.3	None	0
NP_015064.1	NP_013296.1	None	0
NP_010611.3	NP_015385.1	None	0
NP_009810.3	NP_010618.1	None	0
NP_013597.1	NP_014040.1	None	0
NP_010406.3	NP_013351.1	None	0
NP_014375.1	NP_010365.3	None	0
NP_015425.1	NP_013677.1	None	0
NP_010334.1	NP_012872.2	None	0
NP_013999.1	NP_013605.1	None	0
NP_014570.1	NP_013605.1	None	0
NP_013293.1	NP_013749.1	None	0
NP_009364.1	NP_011671.3	None	0
NP_013023.3	NP_010300.3	None	0
NP_012892.1	NP_012631.3	None	0
NP_011577.3	NP_012028.1	None	0
NP_012357.2	NP_011421.1	None	0
