ndiscreta	cneoformans	cparapsilosis	calbicans	afumigatus	spombe	moryzae	cglabrata	ntetrasperma	fgraminearum	anidulans	ncrassa	lkluyveri	skudriavzevii	sbayanus	sparadoxus	smikatae	scerevisiae	ncastellii
		CPAR2_101270	C502650CA		SPAC22H10.11c		CAGL0C00759g					SAKL0H12782g	Skud_12.287	Sbay_10.317	Spar_12.332	Smik_12.281	NP_013324.1	XP_003675632.1
NEUDI_24380	CNAG_02437	CPAR2_206380	C202540WA	AFUB_031720	SPCC1183.07	MGG_05260	CAGL0M04829g	NEUTE1DRAFT_122065	FGRAMPH1_01G06141	AN2147	NCU06272	SAKL0H04422g	Skud_13.398	Sbay_13.413	Spar_13.411	Smik_13.437	NP_013956.1	XP_003675447.1
NEUDI_166056	CNAG_01364	CPAR2_303080	C503790WA	AFUB_008250	SPBC1198.05	MGG_06764	CAGL0K06281g	NEUTE1DRAFT_116455	FGRAMPH1_01G19157	AN10188	NCU06300	SAKL0G06006g	Skud_4.730	Sbay_2.629	Spar_4.823	Smik_4.733	NP_010742.1	XP_003676973.1
NEUDI_78061	CNAG_07805	CPAR2_600650	C602860WA	AFUB_050530	SPACUNK4.12c	MGG_13149	CAGL0H06457g	NEUTE1DRAFT_82494	FGRAMPH1_01G23477	AN8044	NCU00481	SAKL0H03124g	Skud_12.474	Sbay_10.506	Spar_12.526	Smik_12.476	NP_013493.2	XP_003678464.1
NEUDI_24665	CNAG_05442	CPAR2_212550	C110660WA	AFUB_039050	SPAC29E6.08	MGG_15601	CAGL0I06688g	NEUTE1DRAFT_118055	FGRAMPH1_01G09931	AN4976	NCU04770	SAKL0H18788g	Skud_5.285	Sbay_5.276	Spar_5.339	Smik_5.313	NP_011075.3	XP_003673333.1
NEUDI_25547	CNAG_02294	CPAR2_805940	C304520CA	AFUB_069530	SPCC1322.13	MGG_01256	CAGL0K10340g	NEUTE1DRAFT_72443	FGRAMPH1_01G08663	AN3626	NCU03194	SAKL0G03014g	Skud_15.290	Sbay_8.180	Spar_4.730	Smik_15.306	NP_014771.3	XP_003677872.1
NEUDI_89481	CNAG_01583	CPAR2_105910	C100650CA	AFUB_006800	SPAC1142.07c	MGG_04095	CAGL0D01936g	NEUTE1DRAFT_144150	FGRAMPH1_01G07261	AN4240	NCU01282	SAKL0E04202g	Skud_12.93	Sbay_10.106	Spar_12.99	Smik_12.88	NP_013125.1	XP_003673364.1
	CNAG_01679	CPAR2_802920	CR01370CA	AFUB_035890	SPBC11B10.04c	MGG_07006	CAGL0M01100g		FGRAMPH1_01G20771	AN3173	NCU03394	SAKL0G07876g	Skud_4.604	Sbay_2.507	Spar_4.717	Smik_4.597	NP_010624.3	XP_003677145.1
	CNAG_01861			AFUB_010120	SPAC6C3.08	MGG_05617		NEUTE1DRAFT_119177	FGRAMPH1_01G03301	AN1209	NCU02967	SAKL0G15532g	Skud_7.566	Sbay_7.524	Spar_7.591	Smik_16.74	NP_011748.3	XP_003676899.1
NEUDI_162192	CNAG_04830	CPAR2_404470	C306240CA		SPBC4F6.08c		CAGL0H04691g	NEUTE1DRAFT_48634	FGRAMPH1_01G09971	AN11568	NCU17114	SAKL0G05148g	Skud_13.144	Sbay_13.152	Spar_13.144	Smik_13.142	NP_013705.1	XP_003677917.1
		CPAR2_104240	C207960CA		SPBC83.15		CAGL0F07403g					SAKL0A06292g	Skud_7.165	Sbay_7.157	Spar_7.174	Smik_7.164	NP_011404.1	XP_003677790.1
NEUDI_166250	CNAG_03316	CPAR2_405600	C305000WA	AFUB_058950	SPAC6F12.06	MGG_01689	CAGL0J09152g	NEUTE1DRAFT_116304	FGRAMPH1_01G17525	AN0163	NCU06561	SAKL0F10208g	Skud_4.119	Sbay_4.109	Spar_4.143	Smik_4.101	NP_010146.1	XP_003674324.1
NEUDI_34880	CNAG_01190	CPAR2_202370	CR03970CA	AFUB_094140	SPBC2A9.08c	MGG_04050	CAGL0C03179g		FGRAMPH1_01G17411		NCU06708	SAKL0A08492g	Skud_12.348	Sbay_10.366	Spar_12.384	Smik_12.343	NP_013370.1	XP_003676213.1
NEUDI_126907	CNAG_00718	CPAR2_501930	C503580CA	AFUB_021100	SPAC26H5.03	MGG_03737	CAGL0J06512g	NEUTE1DRAFT_71951	FGRAMPH1_01G01681	AN3785	NCU08357	SAKL0D02068g	Skud_13.39	Sbay_13.42	Spar_13.39	Smik_13.32	NP_013605.1	XP_003674562.1
NEUDI_165042	CNAG_06444	CPAR2_801680	C113020CA	AFUB_051730	SPAC56F8.11	MGG_07324	CAGL0F01595g	NEUTE1DRAFT_144002	FGRAMPH1_01G23217	AN9460	NCU06677	SAKL0B00924g	Skud_12.131	Sbay_10.150	Spar_12.141	Smik_12.127	NP_013167.1	XP_003676584.1
NEUDI_166860	CNAG_06489	CPAR2_600250	C603080CA	AFUB_053920	SPCC338.14	MGG_06270	CAGL0C04983g	NEUTE1DRAFT_63665	FGRAMPH1_01G23527	AN2272	NCU00414	SAKL0F15158g	Skud_10.328	Sbay_12.194	Spar_10.388	Smik_10.397	NP_012639.1	XP_003677698.1
		CPAR2_211430	C203530WA				CAGL0K05863g					SAKL0D07810g	Skud_7.110	Sbay_7.103	Spar_7.117	Smik_7.110	NP_011355.1	XP_003676011.1
NEUDI_169189	CNAG_04599	CPAR2_105770	C100510WA	AFUB_075150	SPAC5H10.09c	MGG_00599	CAGL0M06215g	NEUTE1DRAFT_148955	FGRAMPH1_01G27401	AN1778	NCU10048	SAKL0H09064g	Skud_2.303	Sbay_4.428	Spar_2.336	Smik_2.316	NP_009735.3	XP_003674650.1
NEUDI_92157	CNAG_04715	CPAR2_503490	C305530WA	AFUB_022820	SPAC27F1.07	MGG_09287	CAGL0D05742g	NEUTE1DRAFT_119086	FGRAMPH1_01G01277	AN7472	NCU02541	SAKL0G12628g	Skud_10.221	Sbay_12.79	Spar_10.269	Smik_10.277	NP_012532.3	XP_003673101.1
		CPAR2_200070	CR10720WA				CAGL0I07623g					SAKL0C09768g	Skud_15.58	Sbay_15.70	Spar_15.81	Smik_15.61	NP_014546.1	XP_003675845.1
							CAGL0K02695g					SAKL0E02266g	Skud_8.40	Sbay_8.48	Spar_8.50	Smik_8.43	NP_011857.2	XP_003674175.1
							CAGL0K01419g					SAKL0C08492g	Skud_4.211	Sbay_4.207	Spar_4.237	Smik_4.195	NP_010240.1	XP_003678228.1
							CAGL0K01221g					SAKL0C08140g	Skud_7.373	Sbay_7.359	Spar_7.388	Smik_6.159	NP_011591.1	XP_003674982.1
							CAGL0K01881g					SAKL0C07964g	Skud_4.240	Sbay_4.236	Spar_4.265	Smik_4.221	NP_010271.3	XP_003678201.1
							CAGL0K00869g					SAKL0G14696g	Skud_7.542	Sbay_7.500	Spar_7.563	Smik_16.100	NP_011722.3	XP_003673671.1
							CAGL0K00649g					SAKL0C04444g	Skud_10.26	Sbay_6.272	Spar_10.41	Smik_10.41	NP_012343.1	XP_003678319.1
							CAGL0K01023g					SAKL0B09196g	Skud_7.380	Sbay_7.366	Spar_7.395	Smik_6.166	NP_011598.3	XP_003676551.1
							CAGL0I04136g					SAKL0F01430g	Skud_7.40	Sbay_7.34	Spar_7.41	Smik_7.34	NP_011289.1	XP_003676472.1
		CPAR2_803920	C108640WA				CAGL0C05335g					SAKL0C08624g	Skud_15.85	Sbay_15.98	Spar_15.110	Smik_15.91	NP_014574.1	XP_003678224.1
												SAKL0C04400g	Skud_10.25	Sbay_6.273	Spar_10.40	Smik_10.40	NP_012342.1	XP_003678320.1
							CAGL0M09152g					SAKL0F14058g	Skud_10.310	Sbay_12.176	Spar_10.365	Smik_10.376	NP_012622.3	XP_003677724.1
NEUDI_87544	CNAG_03005	CPAR2_802100	CR03550WA	AFUB_060070	SPBC19C2.13c	MGG_06404	CAGL0L04026g	NEUTE1DRAFT_80998	FGRAMPH1_01G17855	AN0062	NCU16624	SAKL0E10912g	Skud_14.212	Sbay_14.220	Spar_14.219	Smik_14.208	NP_014280.3	XP_003677488.1
NEUDI_166131	CNAG_02890	CPAR2_208440	C107910CA	AFUB_012200	SPBC3B9.14c	MGG_01524	CAGL0M07513g	NEUTE1DRAFT_78879	FGRAMPH1_01G04757	AN0997	NCU08299	SAKL0D13684g	Skud_13.179	Sbay_13.192	Spar_13.187	Smik_13.193	NP_013737.1	XP_003674215.1
			C501390CA		SPCC16C4.19		CAGL0M08888g					SAKL0G06996g	Skud_4.752	Sbay_2.652	Spar_4.846	Smik_4.755	NP_010766.3	XP_003673746.1
NEUDI_128182	CNAG_05541	CPAR2_601640	C602590CA	AFUB_028050	SPBC428.13c	MGG_03151	CAGL0G02805g	NEUTE1DRAFT_122957	FGRAMPH1_01G00805	AN6288	NCU01605	SAKL0E08206g	Skud_9.65	Sbay_9.89	Spar_9.68	Smik_9.63	NP_012160.2	XP_003675090.1
NEUDI_168658	CNAG_04439	CPAR2_205330	CR05780WA	AFUB_028870	SPAC637.05c	MGG_03244	CAGL0C00649g	NEUTE1DRAFT_117258	FGRAMPH1_01G01609	AN6232	NCU08515	SAKL0B08514g	Skud_2.255	Sbay_4.375	Spar_2.285	Smik_2.267	NP_009685.3	XP_003678105.1
NEUDI_11264		CPAR2_107810	C105300CA	AFUB_091510		MGG_04858	CAGL0B00418g	NEUTE1DRAFT_99154	FGRAMPH1_01G17433		NCU06618	SAKL0C00550g	Skud_3.7	Sbay_3.156	Spar_3.26	Smik_3.18	NP_009874.1	XP_003675360.1
NEUDI_9829	CNAG_06392	CPAR2_805370	C700450CA	AFUB_012780	SPBC1921.07c	MGG_10678	CAGL0B04785g	NEUTE1DRAFT_56138	FGRAMPH1_01G15409	AN0668	NCU07174	SAKL0D08536g	Skud_3.49	Sbay_3.9	Spar_3.69	Smik_3.72	NP_009917.1	XP_003675836.1
NEUDI_92364	CNAG_00078	CPAR2_803100	CR01320CA	AFUB_069400	SPAC24H6.11c	MGG_04433	CAGL0I10626g	NEUTE1DRAFT_73236	FGRAMPH1_01G02525	AN3665	NCU02632	SAKL0F02926g	Skud_7.436	Sbay_7.413	Spar_7.452	Smik_6.221	NP_011641.1	XP_003676526.1
NEUDI_156930	CNAG_04159	CPAR2_700600	C114170WA	AFUB_078540	SPAC328.02	MGG_00859	CAGL0G07733g	NEUTE1DRAFT_85203	FGRAMPH1_01G23815	AN3689	NCU06882	SAKL0D05852g	Skud_11.250	Sbay_11.249	Spar_11.300	Smik_11.274	NP_012942.3	XP_003675220.1
NEUDI_138982	CNAG_06314	CPAR2_208400	C107890CA	AFUB_093560	SPBC405.01	MGG_11343	CAGL0H07887g	NEUTE1DRAFT_116973	FGRAMPH1_01G06015	AN6541	NCU00177	SAKL0F01056g	Skud_7.31	Sbay_7.25	Spar_7.32	Smik_7.25	NP_011280.1	XP_003676463.1
NEUDI_89180	CNAG_03308	CPAR2_402930	C404170CA	AFUB_008690		MGG_01350	CAGL0L08294g	NEUTE1DRAFT_128001	FGRAMPH1_01G07615	AN1359	NCU04601	SAKL0E09570g	Skud_9.27	Sbay_9.48	Spar_9.32	Smik_9.29	NP_012126.1	XP_003675120.1
NEUDI_103640	CNAG_01437	CPAR2_207960	C111420WA	AFUB_027140	SPBC25B2.05	MGG_06049	CAGL0B00352g	NEUTE1DRAFT_61524	FGRAMPH1_01G19751	AN5875	NCU07041	SAKL0C00484g	Skud_3.4	Sbay_3.153	Spar_3.23	Smik_3.15	NP_009872.1	XP_003675363.1
NEUDI_33851	CNAG_00482	CPAR2_104850	C206150CA	AFUB_030720	SPAC637.10c	MGG_04506	CAGL0L08580g	NEUTE1DRAFT_15958	FGRAMPH1_01G02797	AN7579	NCU02982	SAKL0G18634g	Skud_8.267	Sbay_15.404	Spar_8.309	Smik_8.290	NP_012070.3	XP_003673577.1
NEUDI_160507	CNAG_02412	CPAR2_212540	C111000CA	AFUB_083840	SPAC1556.05c	MGG_00178	CAGL0E02937g	NEUTE1DRAFT_105967	FGRAMPH1_01G24635	AN11145	NCU02640	SAKL0H21252g	Skud_7.258	Sbay_7.249	Spar_7.270	Smik_7.258	NP_011486.1	XP_003675908.1
							CAGL0E03960g					SAKL0H26004g	Skud_8.10	Sbay_8.17	Spar_8.19	Smik_8.7	NP_011829.1	XP_003675946.1
NEUDI_123805	CNAG_00195	CPAR2_208480	C107960WA	AFUB_042680	SPCC1739.07	MGG_17978	CAGL0F03289g	NEUTE1DRAFT_125262	FGRAMPH1_01G11031	AN10590	NCU16328	SAKL0G08316g	Skud_8.142	Sbay_15.274	Spar_8.163	Smik_8.159	NP_011949.1	XP_003677835.1
NEUDI_125645	CNAG_04743	CPAR2_209120	C111170WA	AFUB_056510	SPCC338.15	MGG_02821	CAGL0L02365g	NEUTE1DRAFT_89662	FGRAMPH1_01G00513	AN4683	NCU00669	SAKL0F04884g	Skud_5.98	Sbay_5.84	Spar_5.120	Smik_5.111	NP_010914.3	XP_003678091.1
NEUDI_157901	CNAG_05782	CPAR2_404330	C208280WA	AFUB_067750	SPAC23H4.12	MGG_06717	CAGL0K02321g	NEUTE1DRAFT_147305	FGRAMPH1_01G19347	AN1976	NCU06787	SAKL0H24486g	Skud_16.308	Sbay_16.350	Spar_16.370	Smik_16.264	NP_015348.1	XP_003674907.1
NEUDI_95188	CNAG_05613	CPAR2_101560	C502050WA	AFUB_022040	SPAPB21F2.02	MGG_13176	CAGL0B01551g	NEUTE1DRAFT_90518	FGRAMPH1_01G23921	AN2094	NCU09219	SAKL0H15774g	Skud_4.400	Sbay_2.302	Spar_4.448	Smik_4.385	NP_010425.1	XP_003674811.1
NEUDI_125601	CNAG_05100	CPAR2_210830	C202340CA	AFUB_020730	SPCC794.11c	MGG_10448	CAGL0H04323g	NEUTE1DRAFT_89778	FGRAMPH1_01G01951	AN3821	NCU00725	SAKL0G17952g	Skud_10.349	Sbay_12.216	Spar_10.409	Smik_10.418	NP_012659.1	XP_003673562.1
NEUDI_168109		CPAR2_805540	C701450CA	AFUB_002410	SPAC25G10.08	MGG_01978	CAGL0K09966g	NEUTE1DRAFT_117891	FGRAMPH1_01G18739	AN0359	NCU02208	SAKL0D14432g	Skud_15.529	Sbay_8.418	Spar_15.580	Smik_15.545	NP_015006.3	XP_003678038.1
NEUDI_74573	CNAG_02375	CPAR2_600500	C603040CA	AFUB_032320	SPAC1093.03	MGG_07091	CAGL0D02464g	NEUTE1DRAFT_145545	FGRAMPH1_01G14909	AN7314	NCU08689	SAKL0C13552g	Skud_14.16	Sbay_14.16	Spar_14.11	Smik_14.7	NP_014074.1	XP_003676561.1
NEUDI_76653	CNAG_00931	CPAR2_106150	C102160WA	AFUB_030730	SPBC3B9.12	MGG_04507	CAGL0K11253g	NEUTE1DRAFT_143187	FGRAMPH1_01G02799		NCU11085	SAKL0H11792g	Skud_4.508	Sbay_2.412	Spar_4.560	Smik_4.493	NP_010532.3	XP_003674712.1
							CAGL0M07227g					SAKL0G18370g	Skud_8.262	Sbay_15.399	Spar_8.304	Smik_8.285	NP_012066.1	XP_003678534.1
		CPAR2_106340	C102360CA				CAGL0G01056g					SAKL0B04180g	Skud_12.428	Sbay_10.441	Spar_12.474	Smik_12.430	NP_013447.1	XP_003678393.1
		CPAR2_801170	CR02700WA				CAGL0J05720g					SAKL0E11704g	Skud_14.183	Sbay_14.189	Spar_14.189	Smik_14.178	NP_014250.1	XP_003677461.1
		CPAR2_702430	CR05760CA				CAGL0K07898g					SAKL0B08558g	Skud_16.373	Sbay_16.414	Spar_16.440	Smik_16.327	NP_015409.1	XP_003674069.1
		CPAR2_204820	CR06680CA				CAGL0L12034g					SAKL0H17666g	Skud_5.315	Sbay_5.312	Spar_5.373	Smik_5.348	NP_011103.1	XP_003674947.1
		CPAR2_301090	C700600CA		SPCC24B10.15		CAGL0L04488g					SAKL0A08668g	Skud_15.330	Sbay_8.221	Spar_15.359	Smik_15.346	NP_014809.3	XP_003676867.1
NEUDI_55456	CNAG_00537	CPAR2_401300	C402020WA	AFUB_028190		MGG_01721	CAGL0J11836g	NEUTE1DRAFT_145504	FGRAMPH1_01G04645	AN6279	NCU08002	SAKL0G04422g	Skud_13.106	Sbay_13.118	Spar_13.112	Smik_13.107	NP_013670.1	XP_003677907.1
NEUDI_62666	CNAG_03888	CPAR2_802750	CR01700CA	AFUB_018890	SPBC1861.04c	MGG_04727	CAGL0H02211g	NEUTE1DRAFT_123594	FGRAMPH1_01G06733	AN10574	NCU09048	SAKL0D01958g	Skud_13.439	Sbay_13.452	Spar_13.461	Smik_13.481	NP_013995.1	XP_003675410.1
							CAGL0J09284g					SAKL0F09922g	Skud_4.126	Sbay_4.116	Spar_4.150	Smik_4.108	NP_010154.1	XP_003674316.1
							CAGL0J06116g					SAKL0E12452g	Skud_14.167	Sbay_14.174	Spar_14.174	Smik_14.163	NP_014235.1	XP_003677443.1
							CAGL0J06270g					SAKL0F09702g	Skud_4.82	Sbay_4.71	Spar_4.88	Smik_4.63	NP_010105.1	XP_003676780.1
							CAGL0J06358g					SAKL0F09900g	Skud_4.78	Sbay_4.67	Spar_4.84	Smik_4.59	NP_010101.1	XP_003676788.1
							CAGL0J06754g					SAKL0D01584g	Skud_13.29	Sbay_13.32	Spar_13.29	Smik_13.22	NP_013595.1	XP_003674495.1
							CAGL0D05764g					SAKL0G12606g	Skud_12.64	Sbay_10.73	Spar_12.69	Smik_12.60	NP_013098.1	XP_003673100.1
		CPAR2_601630	C602600WA		SPAC3H8.09c		CAGL0H03267g					SAKL0A05016g	Skud_16.88	Sbay_16.116	Spar_16.132	Smik_6.396	NP_015134.1	XP_003677754.1
NEUDI_169007	CNAG_06644	CPAR2_703970	C702840CA	AFUB_004350	SPAC19A8.04	MGG_06047	CAGL0M07656g	NEUTE1DRAFT_116692	FGRAMPH1_01G04729	AN4042	NCU05278	SAKL0D13398g	Skud_13.169	Sbay_13.182	Spar_13.176	Smik_13.179	NP_013728.1	XP_003674208.1
NEUDI_157549		CPAR2_603120	C600900CA	AFUB_007660		MGG_06961	CAGL0K04323g	NEUTE1DRAFT_64648	FGRAMPH1_01G20685	AN10645	NCU08476	SAKL0B04774g	Skud_7.351	Sbay_7.335	Spar_7.365	Smik_6.137	NP_011567.3	XP_003673168.1
	CNAG_04745						CAGL0J09636g					SAKL0H12166g	Skud_4.50	Sbay_4.41	Spar_4.58	Smik_4.33	NP_010074.1	XP_003675613.1
NEUDI_78247	CNAG_06446	CPAR2_200730	CR10010CA	AFUB_089010	SPAC25B8.04c	MGG_06458	CAGL0A03927g	NEUTE1DRAFT_82299	FGRAMPH1_01G24335	AN9065	NCU00395	SAKL0F11286g	Skud_12.266	Sbay_10.297	Spar_12.310	Smik_12.261	NP_013304.1	XP_003676717.1
NEUDI_86366	CNAG_01438	CPAR2_803950	C108670WA	AFUB_091200	SPBC336.12c	MGG_09869	CAGL0B01166g	NEUTE1DRAFT_108173	FGRAMPH1_01G14767	AN6715	NCU07587	SAKL0C01914g	Skud_12.248	Sbay_10.279	Spar_12.291	Smik_12.243	NP_013283.1	XP_003675320.1
	CNAG_06408	CPAR2_301580	C700370WA		SPAC31A2.15c		CAGL0B04873g					SAKL0D08624g	Skud_3.45	Sbay_3.5	Spar_3.65	Smik_3.68	NP_009913.2	XP_003675839.1
NEUDI_164907	CNAG_02239	CPAR2_504020	C300290WA	AFUB_054610	SPBC4.07c	MGG_05477	CAGL0I04884g	NEUTE1DRAFT_115902	FGRAMPH1_01G04899	AN2213	NCU01224	SAKL0C11440g	Skud_4.247	Sbay_4.246	Spar_4.275	Smik_4.229	NP_010277.1	XP_003673957.1
NEUDI_158112	CNAG_00793	CPAR2_201310	C112820CA	AFUB_013650	SPAC23C4.15	MGG_06083	CAGL0I07799g	NEUTE1DRAFT_145772	FGRAMPH1_01G26359	AN0752	NCU05305	SAKL0C10076g	Skud_2.281	Sbay_4.404	Spar_2.314	Smik_2.294	NP_009712.1	XP_003678247.1
NEUDI_127825	CNAG_02907	CPAR2_407650	C206480WA	AFUB_040340	SPAC6B12.09	MGG_00880	CAGL0I07667g	NEUTE1DRAFT_131414	FGRAMPH1_01G20071	AN3010	NCU02231	SAKL0C09834g	Skud_15.60	Sbay_15.73	Spar_15.83	Smik_15.63	NP_014548.1	XP_003673809.1
NEUDI_137557	CNAG_07800	CPAR2_702800	C702320WA	AFUB_058410	SPCC584.05	MGG_12345	CAGL0E01001g	NEUTE1DRAFT_145188	FGRAMPH1_01G26515	AN4724	NCU08312	SAKL0H14894g	Skud_4.422	Sbay_2.328	Spar_4.471	Smik_4.408	NP_010448.1	XP_003674792.1
NEUDI_90727	CNAG_01323	CPAR2_600790	C603400CA	AFUB_063860	SPCC737.02c	MGG_06192	CAGL0G10153g	NEUTE1DRAFT_115642	FGRAMPH1_01G07751	AN4388	NCU08940	SAKL0C00770g	Skud_4.803	Sbay_2.711	Spar_4.900	Smik_4.810	NP_010818.1	XP_003672971.1
NEUDI_77475	CNAG_00469	CPAR2_203650	C111600WA	AFUB_072310	SPCC1795.10c	MGG_08706	CAGL0M13321g	NEUTE1DRAFT_141910	FGRAMPH1_01G18617	AN5788	NCU00778	SAKL0H01892g	Skud_8.244	Sbay_15.382	Spar_8.286	Smik_8.269	NP_012051.3	XP_003676071.1
NEUDI_166888	CNAG_01709	CPAR2_100680	C502490CA	AFUB_024880	SPAC2F7.05c	MGG_08866	CAGL0D03718g	NEUTE1DRAFT_63560	FGRAMPH1_01G17885	AN6067	NCU00366	SAKL0F14036g	Skud_16.329	Sbay_16.370	Spar_16.390	Smik_16.285	NP_015366.1	XP_003674415.1
		CPAR2_602900	C600700CA				CAGL0I06875g					SAKL0H19140g	Skud_5.276	Sbay_5.267	Spar_5.330	Smik_5.304	NP_011066.3	XP_003675025.1
							CAGL0L06116g					SAKL0H24904g	Skud_7.87	Sbay_7.78	Spar_7.93	Smik_7.88	NP_011330.1	XP_003675760.1
NEUDI_91067	CNAG_05825	CPAR2_404670	C209020WA	AFUB_025950	SPBC25D12.03c	MGG_09300	CAGL0M05423g	NEUTE1DRAFT_88816	FGRAMPH1_01G23971	AN5992	NCU08119	SAKL0H10406g	Skud_2.329	Sbay_4.457	Spar_2.371	Smik_2.343	NP_009761.4	XP_003674682.1
NEUDI_73425	CNAG_06892	CPAR2_109910	C100860WA	AFUB_055700	SPBC3B9.06c	MGG_17909	CAGL0I05808g	NEUTE1DRAFT_89550	FGRAMPH1_01G11121	AN11004	NCU01955	SAKL0A02420g	Skud_14.338	Sbay_14.360	Spar_14.371	Smik_14.337	NP_014404.3	XP_003677339.1
							CAGL0M09042g					SAKL0F14168g	Skud_10.315	Sbay_12.181	Spar_10.370	Smik_10.381	NP_012627.1	XP_003677719.1
							CAGL0L06468g					SAKL0H16148g	Skud_4.392	Sbay_2.294	Spar_4.440	Smik_4.377	NP_010416.1	XP_003674802.1
		CPAR2_801400	CR02380CA				CAGL0I05324g					SAKL0F07612g	Skud_9.143	Sbay_9.172	Spar_9.161	Smik_9.164	NP_012237.1	XP_003674264.1
		CPAR2_106710	C102080WA				CAGL0M02002g					SAKL0H06116g	Skud_16.117	Sbay_16.145	Spar_16.162	Smik_6.362	NP_015160.1	XP_003675484.1
		CPAR2_803340	C110910CA				CAGL0A02706g					SAKL0G02266g	Skud_4.631	Sbay_2.534	Spar_4.600	Smik_4.628	NP_010650.1	XP_003677169.1
		CPAR2_804520	C111770CA				CAGL0L12452g					SAKL0H11594g	Skud_16.250	Sbay_16.285	Spar_16.303	Smik_16.203	NP_015293.1	XP_003675602.1
		CPAR2_403960	C110140CA				CAGL0M05445g					SAKL0H10274g	Skud_2.330	Sbay_4.458	Spar_2.372	Smik_2.344	NP_009762.2	XP_003674683.1
		CPAR2_804780	C110180CA				CAGL0M09449g					SAKL0F13530g	Skud_2.8	Sbay_2.16	Spar_2.21	Smik_2.18	NP_009449.1	XP_003676724.1
		CPAR2_804210	C110440WA				CAGL0L01221g					SAKL0D11990g	Skud_5.47	Sbay_5.26	Spar_5.34	Smik_5.50	NP_010871.3	XP_003677656.1
		CPAR2_804080	C110530WA				CAGL0J02310g					SAKL0F07216g	Skud_9.153	Sbay_9.185	Spar_9.173	Smik_9.174	NP_012248.1	XP_003674185.1
	CNAG_02838	CPAR2_402390	C400660WA		SPBC409.14c		CAGL0L00451g					SAKL0A02992g	Skud_13.354	Sbay_13.369	Spar_13.383	Smik_13.393	NP_013913.1	XP_003676326.1
